MARKET,TYPE,BRAND,MODEL,Sage Code,DESCRIPTION,SAMSUNG CODE,Color / SIM
WHOLE SALE,MOBILE,SAM Lat,A107 2+32GB,A107-SM-BK32DL,SM-A107MZKDTPA (A10s) BLACK 32,SM-A107MZKDTPA,BLACK / DS
WHOLE SALE,MOBILE,SAM Lat,A107 2+32GB,A107-SM-BL32DL,SM-A107MZBDTPA (A10s) BLUE 32G,SM-A107MZBDTPA,BLUE / DS
WHOLE SALE,MOBILE,SAM Lat,A107 2+32GB,A107-SM-RD32DL,SM-A107MZRDTPA (A10s) RED 32GB,SM-A107MZRDTPA,RED / DS
WHOLE SALE,MOBILE,SAM Lat,A107 2+32GB,A107-SAM-RD32DL,SM-A107MDRDTPA (A10s) RED 32G,SM-A107MDRDTPA,RED / DS
WHOLE SALE,MOBILE,SAM Lat,A107 2+32GB,A107-SAM-BK32DL,SM-A107MAKDTPA (A10s) BLACK 32G,SM-A107MAKDTPA,BLACK / DS
WHOLE SALE,MOBILE,SAM Lat,A107 2+32GB,A107-SAM-BL32DL,SM-A107MDBDTPA (A10s) BLUE 32G,SM-A107MDBDTPA,BLUE / DS
WHOLE SALE,MOBILE,SAM Lat,A107 2+32GB,A107-SP-BK32DL,,,BLACK / DS
WHOLE SALE,MOBILE,SAM Lat,A107 2+32GB,A107-SM-BL32SL,SM-A107MZBATPA (A10s) BLUE 32G,SM-A107MZBATPA,BLUE / SS
WHOLE SALE,MOBILE,SAM Lat,A107 2+32GB,A107-SM-BK32SL,SM-A107MZKATPA (A10s) BLACK 32,SM-A107MZKATPA,BLACK / SS
WHOLE SALE,MOBILE,SAM Lat,A107 2+32GB,A107-SM-RD32SL,SM-A107MZRATPA (A10s) RED 32GB,SM-A107MZRATPA,RED / SS
WHOLE SALE,MOBILE,SAM Lat,A015 2+16GB,A015-SM-BK16DL,SM-A015MZKDTPA (A01) BLACK 16,SM-A015MZKDTPA,BLACK / DS
WHOLE SALE,MOBILE,SAM Lat,A015 2+16GB,A015-SM-BL16DL,SM-A015MZBDTPA (A01) BLUE 16G,SM-A015MZBDTPA,BLUE / DS
WHOLE SALE,MOBILE,SAM Lat,A015 2+16GB,A015-SM-RD16DL,SM-A015MZRDTPA (A01) RED 16GB,SM-A015MZRDTPA,RED / DS
WHOLE SALE,MOBILE,SAM Lat,A015 2+16GB,A015-SP-BK16DL,,,BLACK / SS
WHOLE SALE,MOBILE,SAM Lat,A015 2+16GB,A015-SM-BL16SL,SM-A015MZBATPA (A01) BLUE 16G,SM-A015MZBATPA,BLUE / SS
WHOLE SALE,MOBILE,SAM Lat,A015 2+16GB,A015-SM-BK16SL,SM-A015MZKATPA (A01) BLACK 16,SM-A015MZKATPA,BLACK / SS
WHOLE SALE,MOBILE,SAM Lat,A015 2+16GB,A015-SM-RD16SL,SM-A015MZRATPA (A01) RED 16GB,SM-A015MZRATPA,RED / SS
WHOLE SALE,MOBILE,SAM Lat,A015 2+32GB,A015-SM-BL32DL,SM-A015MZBETPA (A01) BLUE 32G,SM-A015MZBETPA,BLUE / DS
WHOLE SALE,MOBILE,SAM Lat,A015 2+32GB,A015-SM-BK32DL,SM-A015MZKETPA (A01) BLACK 32,SM-A015MZKETPA,BLACK / DS
WHOLE SALE,MOBILE,SAM Lat,A015 2+32GB,A015-SM-RD32DL,SM-A015MZRETPA (A01) RED 32GB,SM-A015MZRETPA,RED / SS
WHOLE SALE,MOBILE,SAM Lat,A013 1+16GB,A013-SM-BL16DL,SM-A013MZBDTPA (A103) BLUE 16G,SM-A013MZBDTPA,BLUE / DS
WHOLE SALE,MOBILE,SAM Lat,A013 1+16GB,A013-SM-BK16DL,SM-A013MZKDTPA (A103) BLACK 16,SM-A013MZKDTPA,BLACK / DS
WHOLE SALE,MOBILE,SAM Lat,A013 1+16GB,A013-SM-RD16DL,SM-A013MZRDTPA (A103) RED 16GB,SM-A013MZRDTPA,RED / DS
WHOLE SALE,MOBILE,SAM Lat,A013 32GB,A013-SP-BK32DL,,,BLACK / DS
WHOLE SALE,MOBILE,SAM Lat,A022 3+32GB,A022-SM-BK32DL,,,BLACK / DS
WHOLE SALE,MOBILE,SAM Lat,A022 3+32GB,A022-SM-RD32DL,,,RED / DS
WHOLE SALE,MOBILE,SAM Lat,A022 3+32GB,A022-SM-BL32DL,,,BLUE / DS
WHOLE SALE,MOBILE,SAM Lat,A022 3 + 64GB,A022-SM-RD64DL,SM-A022MZRWTPA (A022) Red,SM-A022MZRWTPA,RED / DS
WHOLE SALE,MOBILE,SAM Lat,A022 3 + 64GB,A022-SM-BK64DL,SM-A022MZKWTPA (A022) Black,SM-A022MZKWTPA,BLACK / DS
WHOLE SALE,MOBILE,SAM Lat,A022 3 + 64GB,A022-SM-BL64DL,SM-A022MZBWTPA (A022) Blue,SM-A022MZBWTPA,BLUE / DS
WHOLE SALE,MOBILE,SAM Lat,A025 4+64GB,A025-SM-BL64DL,"SM-A025MZBFTPA (A025) Blue 4,6",SM-A025MZBFTPA,BLUE / DS
WHOLE SALE,MOBILE,SAM Lat,A025 4+64GB,A025-SM-BK64DL,"SM-A025MZKFTPA (A025) Black 4,",SM-A025MZKFTPA,BLACK / DS
WHOLE SALE,MOBILE,SAM Lat,A025 4+64GB,A025-SM-RD64DL,"SM-A025MZRFTPA (A025) Red 4,64",SM-A025MZRFTPA,RED / DS
WHOLE SALE,MOBILE,SAM Lat,A025 4+64GB,A025-SP-BK64DL,,SM-A025MZKFGTO,BLACK / DS
WHOLE SALE,MOBILE,SAM Lat,A125 4+64GB,A125-SM-BL64DL,"SM-A125MZBGTPA (A125) Blue 4,6",SM-A125MZBGTPA,BLUE / DS
WHOLE SALE,MOBILE,SAM Lat,A125 4+64GB,A125-SM-BK64DL,"SM-A125MZKGTPA (A125) Black 4,",SM-A125MZKGTPA,BLACK / DS
WHOLE SALE,MOBILE,SAM Lat,A125 4+64GB,A125-SM-RD64DL,"SM-A125MZRGTPA (A125) Red 4,64",SM-A125MZRGTPA,RED / DS
WHOLE SALE,MOBILE,SAM Lat,A125 4+64GB,A125-SM-WT64DL,"SM-A125MZWGTPA (A125) White 4,",SM-A125MZWGTPA,WHITE / DS
WHOLE SALE,MOBILE,SAM Lat,A125 4+64GB,A125-SP-BK64DL,,SM-A125MZKGGTO,BLACK / DS
WHOLE SALE,MOBILE,SAM Lat,A115 2+32GB,A115-SM-BL32DL,"SM-A115MZBDTPA (A115) Blue 2,3",SM-A115MZBDTPA,BLUE / DS
